SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_glide_XP_ClBr,r_glide_XP_Electro,r_glide_XP_GScore,r_glide_XP_HBond,i_glide_XP_impact_version,r_glide_XP_LipophilicEvdW,r_glide_XP_LowMW,r_glide_XP_Penalties,r_glide_XP_HBPenal,r_glide_XP_ExposPenal,r_glide_XP_RotPenal,r_glide_XP_PhobEn,r_glide_XP_PhobEnHB,r_glide_XP_PhobEnPairHB,r_glide_XP_PiCat,r_glide_XP_PiStack,i_glide_XP_PoseRank,r_glide_XP_Sitemap,r_glide_XP_Zpotr,r_i_glide_gscore,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_energy,r_i_glide_einternal,r_i_glide_emodel
O=C([O-])c1c[n+]([O-])ccn1,ZINC000002559863,2,Done,11.53,-11.5312,glide-grid_8F76,,,-11.5312,-2.28602,,,,,,,,,,,,,1,,,-11.5312,9.93059,-18.5587,-8.62807,2.67781,-8.86843
O=C([O-])C1(C(=O)[O-])CCCO1,ZINC000064033582,3,Done,28.77,-11.4234,glide-grid_8F76,,,-11.4234,-2.85264,,,,,,,,,,,,,1,,,-11.4234,2.78918,-18.0418,-15.2526,2.18253,-6.74304
O=C([O-])C(O)(O)C(F)(F)F,ZINC000033388485,508,Done,18.98,-11.1471,glide-grid_8F76,,,-11.1471,-3.11137,,,,,,,,,,,,,1,,,-11.1471,3.29254,-13.6943,-10.4018,1.08472,-4.67047
O=C([O-])[C@H](O)C1CC1,ZINC000041047748,7,Done,31.8,-11.1221,glide-grid_8F76,,,-11.1221,-2.71064,,,,,,,,,,,,,1,,,-11.1221,-5.9565,-12.5766,-18.5331,0.973851,-17.9292
[NH3+][C@H](C(=O)[O-])C1COC1,ZINC000038433653,8,Done,35.3,-11.0412,glide-grid_8F76,,,-11.0412,-1.91239,,,,,,,,,,,,,1,,,-11.0412,1.1726,-10.5593,-9.38675,4.35867,4.81204
O=C([O-])[C@@H](O)[C@@H](O)C(F)F,ZINC000256050990,9,Done,34.51,-11.0235,glide-grid_8F76,,,-11.0235,-2.95627,,,,,,,,,,,,,1,,,-11.0235,-5.60567,-13.8875,-19.4932,8.34959,-15.7951
O=C([O-])C1(C(=O)[O-])CC(F)(F)C1,ZINC000090685292,6,Done,14.8,-11.0103,glide-grid_8F76,,,-11.251,-2.81212,,,,,,,,,,,,,1,,,-11.251,8.38591,-17.5708,-9.1849,1.7607,4.67032
N#CCn1ccc(C(=O)[O-])n1,ZINC000070707679,14,Done,9.41,-10.9392,glide-grid_8F76,,,-10.9392,-2.96169,,,,,,,,,,,,,1,,,-10.9392,-3.53937,-13.0772,-16.6166,0.116427,-3.00853
O=C([O-])C1(O)CC1,ZINC000002539397,11,Done,16.29,-10.8895,glide-grid_8F76,,,-10.8895,-3.15591,,,,,,,,,,,,,1,,,-10.8895,-4.62533,-13.1116,-17.7369,2.42488,-19.6736
C[C@H](S)CC(=O)[O-],ZINC000005652319,12,Done,17.64,-10.8872,glide-grid_8F76,,,-10.8872,-2.08179,,,,,,,,,,,,,1,,,-10.8872,-5.48049,-12.0077,-17.4882,6.19375,-11.5222
O=C1CC(C(=O)[O-])(C(=O)[O-])C1,ZINC000145407450,495,Done,25.29,-10.8629,glide-grid_8F76,,,-11.1205,-2.8128,,,,,,,,,,,,,1,,,-11.1205,4.11318,-17.2356,-13.1225,1.99108,-3.38467
O=C([O-])[C@@H]1CCON1,ZINC000104715823,15,Done,13.03,-10.8282,glide-grid_8F76,,,-10.8436,-2.58561,,,,,,,,,,,,,1,,,-10.8436,-6.63243,-12.6728,-19.3052,0.14721,-22.6063
C[C@H](O)[C@H](O)C(=O)[O-],ZINC000001695854,16,Done,21.7,-10.8132,glide-grid_8F76,,,-10.8132,-3.14897,,,,,,,,,,,,,1,,,-10.8132,-6.7714,-13.2516,-20.023,2.04557,-20.7472
CC[C@H](O)C(=O)[O-],ZINC000000895970,17,Done,16.1,-10.8034,glide-grid_8F76,,,-10.8034,-2.65607,,,,,,,,,,,,,1,,,-10.8034,-9.99753,-12.1566,-22.1541,4.39065,-25.5127
O=C([O-])CS,ZINC000004658574,19,Done,10.96,-10.7923,glide-grid_8F76,,,-10.7923,-2.15314,,,,,,,,,,,,,1,,,-10.7923,-11.7005,-11.5927,-23.2931,0.409641,-28.4429
O=C([O-])c1ccc(F)o1,ZINC000085395459,22,Done,6.83,-10.7866,glide-grid_8F76,,,-10.7866,-2.22206,,,,,,,,,,,,,1,,,-10.7866,-5.96076,-12.3119,-18.2727,2.80842,-14.5474
O=C([O-])[C@H]1CC[C@H]1O,ZINC000076570703,21,Done,20.78,-10.7695,glide-grid_8F76,,,-10.7695,-2.6514,,,,,,,,,,,,,1,,,-10.7695,0.223194,-13.3055,-13.0823,0.509423,-5.42854
N#CCn1cnc(C(=O)[O-])n1,ZINC000307359012,10,Done,7.34,-10.7359,glide-grid_8F76,,,-10.7359,-2.64833,,,,,,,,,,,,,1,,,-10.7359,-5.30801,-14.2551,-19.5631,4.95982,-5.52255
O=C([O-])C1=NOCC1=O,ZINC000014980359,23,Done,5.16,-10.7306,glide-grid_8F76,,,-10.7306,-2.29966,,,,,,,,,,,,,1,,,-10.7306,-9.65296,-14.3395,-23.9925,2.56671,-23.554
O=C([O-])[C@@H](F)C1CC1,ZINC000107257454,24,Done,17.89,-10.719,glide-grid_8F76,,,-10.719,-2.08913,,,,,,,,,,,,,1,,,-10.719,-10.0306,-11.1054,-21.136,3.28347,-23.5028
O=C([O-])C(O)O,ZINC000006660936,25,Done,21.57,-10.7189,glide-grid_8F76,,,-10.7189,-2.14065,,,,,,,,,,,,,1,,,-10.7189,-10.5673,-12.7991,-23.3664,0.259399,-28.434
C[C@H](O)[C@H](F)C(=O)[O-],ZINC000002000447,27,Done,18.21,-10.7114,glide-grid_8F76,,,-10.7114,-2.59108,,,,,,,,,,,,,1,,,-10.7114,-7.76354,-15.1463,-22.9099,6.84939,-20.5866
O=C([O-])[C@H](F)C1CC1,ZINC000107257458,28,Done,18.52,-10.709,glide-grid_8F76,,,-10.709,-2.16977,,,,,,,,,,,,,1,,,-10.709,-10.5035,-10.8321,-21.3356,0.505474,-23.006
O=C([O-])C1=NOCC1,ZINC000032302618,40,Done,8.69,-10.687,glide-grid_8F76,,,-10.687,-2.21235,,,,,,,,,,,,,1,,,-10.687,-13.4336,-12.3669,-25.8005,2.96566,-28.9703
O=C([O-])[C@H]1COCC1(F)F,ZINC000076589251,156,Done,10.55,-10.6863,glide-grid_8F76,,,-10.6863,-2.04145,,,,,,,,,,,,,1,,,-10.6863,-4.02392,-11.7498,-15.7737,1.27765,-3.68982
CC1=C[C@H]1C(=O)[O-],ZINC000039234614,33,Done,9.47,-10.6727,glide-grid_8F76,,,-10.6727,-2.10299,,,,,,,,,,,,,1,,,-10.6727,-8.60431,-12.4277,-21.032,0.183206,-15.8183
O=C([O-])[C@@H](F)CF,ZINC000034154104,30,Done,11.26,-10.6716,glide-grid_8F76,,,-10.6716,-2.13964,,,,,,,,,,,,,1,,,-10.6716,-9.87579,-11.6322,-21.508,3.67115,-25.7838
O=C([O-])c1[nH]cc(F)c1F,ZINC000045795825,32,Done,7.97,-10.6601,glide-grid_8F76,,,-10.6601,-2.23128,,,,,,,,,,,,,1,,,-10.6601,-5.04056,-12.1236,-17.1641,3.69377,-16.0922
CCC(C(=O)[O-])C(=O)[O-],ZINC000000388046,29,Done,28.01,-10.6526,glide-grid_8F76,,,-10.6762,-2.74282,,,,,,,,,,,,,1,,,-10.6762,0.499521,-15.8769,-15.3774,5.92933,-7.37979
C[C@@H](O)[C@@H](O)C(=O)[O-],ZINC000001695857,36,Done,34.7,-10.6334,glide-grid_8F76,,,-10.6334,-1.89063,,,,,,,,,,,,,1,,,-10.6334,-0.765752,-13.0963,-13.862,3.53552,-16.2539
O=C([O-])C(F)(F)C(F)F,ZINC000001845748,37,Done,10.92,-10.6249,glide-grid_8F76,,,-10.6249,-1.75812,,,,,,,,,,,,,1,,,-10.6249,-10.1415,-10.8357,-20.9772,2.03877,-26.1379
C#Cc1c[nH]c(C(=O)[O-])c1,ZINC000095922070,38,Done,13.58,-10.6173,glide-grid_8F76,,,-10.6173,-1.92184,,,,,,,,,,,,,1,,,-10.6173,-6.18623,-10.7767,-16.9629,3.58526,-11.805
C[C@H](O)CC(=O)[O-],ZINC000000901665,34,Done,17.76,-10.6056,glide-grid_8F76,,,-10.6056,-1.87518,,,,,,,,,,,,,1,,,-10.6056,-7.43901,-13.8636,-21.3026,5.78159,-18.6555
O=C([O-])c1ccco1,ZINC000000158555,41,Done,9,-10.5885,glide-grid_8F76,,,-10.5885,-2.14321,,,,,,,,,,,,,1,,,-10.5885,-10.2247,-11.6656,-21.8903,4.15121,-25.799
O=C1C[C@@H](C(=O)[O-])N1,ZINC000004977734,42,Done,8.55,-10.5831,glide-grid_8F76,,,-10.5831,-2.63095,,,,,,,,,,,,,1,,,-10.5831,-11.4348,-11.8216,-23.2563,0.0253037,-26.7261
O=C([O-])c1cc(F)c[nH]1,ZINC000095740519,47,Done,7.97,-10.5821,glide-grid_8F76,,,-10.5821,-2.19065,,,,,,,,,,,,,1,,,-10.5821,-9.15903,-10.4654,-19.6244,4.97015,-21.5783
CC[C@@H](O)C(=O)[O-],ZINC000001693559,43,Done,17.91,-10.5723,glide-grid_8F76,,,-10.5723,-2.88402,,,,,,,,,,,,,1,,,-10.5723,-4.90511,-12.795,-17.7001,0.472106,-21.2417
Cc1coc(C(=O)[O-])c1,ZINC000039199132,26,Done,10.03,-10.5633,glide-grid_8F76,,,-10.5633,-2.18751,,,,,,,,,,,,,1,,,-10.5633,-4.46832,-11.0164,-15.4848,0.00086023,-12.7801
CC1=C[C@@H]1C(=O)[O-],ZINC000039234613,44,Done,12.09,-10.5595,glide-grid_8F76,,,-10.5595,-1.90398,,,,,,,,,,,,,1,,,-10.5595,-6.56574,-11.651,-18.2167,0.58467,-20.3827
C[C@@H]1[C@@H](C(=O)[O-])C1(F)F,ZINC000068577131,48,Done,10.43,-10.5576,glide-grid_8F76,,,-10.5576,-2.18622,,,,,,,,,,,,,1,,,-10.5576,-6.54131,-12.429,-18.9703,0.766227,-19.9379
Cc1coc(C(=O)[O-])n1,ZINC000038530119,49,Done,11.37,-10.5498,glide-grid_8F76,,,-10.5498,-1.93358,,,,,,,,,,,,,1,,,-10.5498,-4.66801,-12.0734,-16.7414,4.41484,10.3013
O=C[C@H](O)C(=O)[O-],ZINC000000895511,50,Done,13.96,-10.5494,glide-grid_8F76,,,-10.5494,-2.72378,,,,,,,,,,,,,1,,,-10.5494,-11.9288,-10.8915,-22.8203,1.62307,-27.8022
C[C@@H](O)[C@H](F)C(=O)[O-],ZINC000002000448,51,Done,17.91,-10.5471,glide-grid_8F76,,,-10.5471,-2.59484,,,,,,,,,,,,,1,,,-10.5471,-10.8277,-12.0379,-22.8657,5.85174,-22.7682
Cc1cc(C(=O)[O-])co1,ZINC000006070171,52,Done,9.41,-10.5456,glide-grid_8F76,,,-10.5456,-1.9304,,,,,,,,,,,,,1,,,-10.5456,-6.80538,-10.869,-17.6744,2.33761,-8.21688
O=C([O-])[C@H]1C[C@@H]1F,ZINC000034268626,72,Done,9.06,-10.5451,glide-grid_8F76,,,-10.5451,-2.2124,,,,,,,,,,,,,1,,,-10.5451,-9.61458,-11.1603,-20.7749,0.405247,-24.9628
O=C([O-])C1CCCC1,ZINC000000388464,259,Done,13.55,-10.5368,glide-grid_8F76,,,-10.5368,-2.10442,,,,,,,,,,,,,1,,,-10.5368,-6.56375,-11.798,-18.3618,0.0383408,-8.52672
Cc1c[nH]c(C(=O)[O-])c1,ZINC000002513001,53,Done,10.07,-10.5359,glide-grid_8F76,,,-10.5359,-1.92733,,,,,,,,,,,,,1,,,-10.5359,-3.84351,-10.4367,-14.2802,2.50307,-4.73823
O=C([O-])[C@@H](F)C(F)(F)F,ZINC000002379686,54,Done,11.17,-10.5337,glide-grid_8F76,,,-10.5337,-2.13743,,,,,,,,,,,,,1,,,-10.5337,-10.4441,-11.2899,-21.734,1.70209,-24.833
O=C([O-])[C@H]1CC[C@H]1F,ZINC000238853977,55,Done,10.37,-10.5329,glide-grid_8F76,,,-10.5329,-1.93606,,,,,,,,,,,,,1,,,-10.5329,-4.05358,-12.0407,-16.0942,0.419626,-11.2012
N#CCCCCCC(=O)[O-],ZINC000005178485,57,Done,41.21,-10.5265,glide-grid_8F76,,,-10.5265,-2.59884,,,,,,,,,,,,,1,,,-10.5265,-1.83955,-13.6283,-15.4679,10.1776,-1.70897
O=C([O-])[C@@H](O)C(F)(F)F,ZINC000005018516,20,Done,19.74,-10.5255,glide-grid_8F76,,,-10.5255,-2.61671,,,,,,,,,,,,,1,,,-10.5255,1.91699,-12.9223,-11.0053,2.94183,-14.1431
O=C([O-])[C@H]1CCCO1,ZINC000004262032,58,Done,13.15,-10.5161,glide-grid_8F76,,,-10.5161,-2.07016,,,,,,,,,,,,,1,,,-10.5161,-9.47425,-13.1694,-22.6436,1.18615,-22.0894
CC[C@@H](F)C(=O)[O-],ZINC000001736842,68,Done,13.42,-10.5144,glide-grid_8F76,,,-10.5144,-2.17088,,,,,,,,,,,,,1,,,-10.5144,-10.0468,-11.6829,-21.7298,3.49821,-24.3015
O=C([O-])[C@@H]1CC1(F)F,ZINC000004290577,35,Done,9.23,-10.5023,glide-grid_8F76,,,-10.5023,-2.13284,,,,,,,,,,,,,1,,,-10.5023,-9.30518,-12.4039,-21.7091,0.264439,-24.9329
O=C([O-])c1[nH]ccc1F,ZINC000307692773,59,Done,9.57,-10.4968,glide-grid_8F76,,,-10.4968,-2.20222,,,,,,,,,,,,,1,,,-10.4968,-5.48882,-12.1843,-17.6731,3.98126,-19.8693
O=C([O-])c1cc(Cl)co1,ZINC000039189309,70,Done,8.36,-10.4915,glide-grid_8F76,,,-10.4915,-2.2182,,,,,,,,,,,,,1,,,-10.4915,1.61354,-11.5014,-9.88784,2.62496,-8.95794
O=C([O-])[C@@H](F)C1COC1,ZINC000257813524,283,Done,19.27,-10.4893,glide-grid_8F76,,,-10.4893,-1.19801,,,,,,,,,,,,,1,,,-10.4893,-6.44906,-11.3418,-17.7908,0,-16.3885
O=C([O-])[C@@H]1CCO1,ZINC000016083111,61,Done,12.56,-10.4872,glide-grid_8F76,,,-10.4872,-2.17847,,,,,,,,,,,,,1,,,-10.4872,-10.1408,-12.1542,-22.2951,0.261896,-28.4832
O=C([O-])[C@H](F)CF,ZINC000034154105,62,Done,10.94,-10.4866,glide-grid_8F76,,,-10.4866,-2.12536,,,,,,,,,,,,,1,,,-10.4866,-9.95741,-11.1488,-21.1062,3.08114,-25.0628
O=C([O-])[C@H]1C[C@@]1(F)Cl,ZINC000016159864,63,Done,10.14,-10.4824,glide-grid_8F76,,,-10.4824,-1.38174,,,,,,,,,,,,,1,,,-10.4824,-7.89289,-10.6817,-18.5745,0.245798,-9.10926
CC(F)(F)[C@H](F)C(=O)[O-],ZINC000116899681,64,Done,12.88,-10.4812,glide-grid_8F76,,,-10.4812,-2.1745,,,,,,,,,,,,,1,,,-10.4812,-8.85833,-12.7164,-21.5747,3.82488,-23.2326
CC[C@H](F)C(=O)[O-],ZINC000002000440,65,Done,10.86,-10.4781,glide-grid_8F76,,,-10.4781,-2.15647,,,,,,,,,,,,,1,,,-10.4781,-10.1685,-11.5514,-21.7199,1.55517,-25.8151
O=C([O-])c1ccns1,ZINC000004344245,66,Done,8.72,-10.478,glide-grid_8F76,,,-10.478,-2.20402,,,,,,,,,,,,,1,,,-10.478,-5.62284,-9.12946,-14.7523,3.27165,-15.6589
C[C@]1(O)C[C@@H](C(=O)[O-])C1,ZINC000101787988,67,Done,17.39,-10.4753,glide-grid_8F76,,,-10.4753,-2.31002,,,,,,,,,,,,,1,,,-10.4753,3.53104,-14.2185,-10.6875,0.501194,-2.0679
O=C([O-])C(O)C(=O)[O-],ZINC000000901335,69,Done,22.42,-10.4711,glide-grid_8F76,,,-10.4711,-2.58369,,,,,,,,,,,,,1,,,-10.4711,-3.27975,-15.3142,-18.594,0.833447,-24.1165
O=C([O-])C[C@@H]1CO1,ZINC000034016738,71,Done,17.4,-10.4658,glide-grid_8F76,,,-10.4658,-2.15973,,,,,,,,,,,,,1,,,-10.4658,-11.1457,-12.3147,-23.4603,1.18399,-26.8171
C#Cc1cc(C(=O)[O-])no1,ZINC000039049419,74,Done,10.02,-10.4577,glide-grid_8F76,,,-10.4577,-2.03972,,,,,,,,,,,,,1,,,-10.4577,-8.94862,-12.2729,-21.2216,3.24509,-19.8727
O=C([O-])C1=COCC1,ZINC000012649694,76,Done,12.48,-10.455,glide-grid_8F76,,,-10.455,-2.19734,,,,,,,,,,,,,1,,,-10.455,-10.4694,-10.5539,-21.0233,0.0317713,-22.4421
O=C([O-])c1ccoc1,ZINC000000158556,108,Done,11.74,-10.4531,glide-grid_8F76,,,-10.4531,-2.05442,,,,,,,,,,,,,1,,,-10.4531,-12.0101,-11.7692,-23.7792,3.11441,-25.0641
O=C([O-])[C@@H]1CCCO1,ZINC000002164321,77,Done,13.15,-10.453,glide-grid_8F76,,,-10.453,-1.89109,,,,,,,,,,,,,1,,,-10.453,-9.03204,-12.9087,-21.9407,0.430523,-21.3563
O=C([O-])c1coc(F)n1,ZINC000044184990,75,Done,6.71,-10.4491,glide-grid_8F76,,,-10.4491,-1.93878,,,,,,,,,,,,,1,,,-10.4491,-10.7429,-11.5522,-22.2951,3.26328,-26.9635
Cc1nc(C(=O)[O-])co1,ZINC000049538689,78,Done,9.79,-10.4488,glide-grid_8F76,,,-10.4488,-2.23749,,,,,,,,,,,,,1,,,-10.4488,-6.98038,-11.8671,-18.8475,2.40707,-10.7559
O=C([O-])[C@H]1[C@H]2C[C@@H]1C2,ZINC000038864218,86,Done,9.09,-10.4443,glide-grid_8F76,,,-10.4443,-2.07004,,,,,,,,,,,,,1,,,-10.4443,-5.22548,-10.726,-15.9515,0.00048115,-13.5705
O=C([O-])CC1CC1,ZINC000002390294,73,Done,18.9,-10.4397,glide-grid_8F76,,,-10.4397,-1.94881,,,,,,,,,,,,,1,,,-10.4397,-10.0269,-9.96114,-19.9881,0.666662,-21.8406
O=C([O-])C1=CCOC1,ZINC000088189720,80,Done,13.06,-10.4393,glide-grid_8F76,,,-10.4393,-2.08325,,,,,,,,,,,,,1,,,-10.4393,-8.21216,-9.8983,-18.1105,0.0471813,-13.396
C[C@H]1C[C@@H]1C(=O)[O-],ZINC000001766071,81,Done,10.05,-10.4356,glide-grid_8F76,,,-10.4356,-2.19317,,,,,,,,,,,,,1,,,-10.4356,-8.27622,-11.5842,-19.8604,0.405302,-25.7785
CC(C)(F)CC(=O)[O-],ZINC000104711881,83,Done,12.25,-10.4333,glide-grid_8F76,,,-10.4333,-2.00969,,,,,,,,,,,,,1,,,-10.4333,-4.09887,-10.6679,-14.7668,0.280719,3.06248
C[C@H]([C@@H](F)C(=O)[O-])C(F)(F)F,ZINC000575471657,87,Done,13.51,-10.4142,glide-grid_8F76,,,-10.4142,-1.81899,,,,,,,,,,,,,1,,,-10.4142,-5.38698,-10.6569,-16.0439,7.64569,-0.652669
O=C([O-])c1cnco1,ZINC000049632635,97,Done,9.41,-10.4133,glide-grid_8F76,,,-10.4133,-2.0353,,,,,,,,,,,,,1,,,-10.4133,-9.10977,-11.3145,-20.4243,3.70241,-25.7675
O=C([O-])C1=CCC1,ZINC000062715001,88,Done,9.66,-10.4084,glide-grid_8F76,,,-10.4084,-1.89143,,,,,,,,,,,,,1,,,-10.4084,-12.1174,-10.9604,-23.0778,4.10188,-28.5067
O=C([O-])[C@H]1O[C@H](O)CS1,ZINC000005480514,90,Done,16.56,-10.4066,glide-grid_8F76,,,-10.4066,-2.03689,,,,,,,,,,,,,1,,,-10.4066,-1.19259,-13.2812,-14.4738,0.880415,-18.5703
C[C@@H](F)C(F)(F)C(=O)[O-],ZINC000104730756,91,Done,13.42,-10.4033,glide-grid_8F76,,,-10.4033,-1.98421,,,,,,,,,,,,,1,,,-10.4033,-2.87362,-10.1974,-13.071,4.91566,-10.3904
O=C1CC[C@H](C(=O)[O-])C1,ZINC000000404130,92,Done,12.53,-10.4027,glide-grid_8F76,,,-10.4027,-2.36791,,,,,,,,,,,,,1,,,-10.4027,-2.04815,-12.1641,-14.2123,1.10444,-0.12822
C[C@H]1O[C@@H]1C(=O)[O-],ZINC000059698773,93,Done,9.53,-10.3974,glide-grid_8F76,,,-10.3974,-2.17467,,,,,,,,,,,,,1,,,-10.3974,-9.66748,-12.3779,-22.0454,0.415327,-26.4512
CC[C@@H](O)C(F)(F)C(=O)[O-],ZINC000052266229,94,Done,20.23,-10.397,glide-grid_8F76,,,-10.397,-2.64197,,,,,,,,,,,,,1,,,-10.397,0.596362,-12.0683,-11.4719,4.8026,-2.00932
O=C([O-])CC(F)(F)F,ZINC000002526262,95,Done,10.65,-10.3952,glide-grid_8F76,,,-10.3952,-2.10688,,,,,,,,,,,,,1,,,-10.3952,-6.75475,-10.1117,-16.8665,0.793575,-20.2354
O=C([O-])[C@H](F)C(F)(F)F,ZINC000012954030,96,Done,10.96,-10.3938,glide-grid_8F76,,,-10.3938,-1.96155,,,,,,,,,,,,,1,,,-10.3938,-10.5071,-10.7535,-21.2606,1.32263,-26.2079
C[C@@H]1O[C@@H]1C(=O)[O-],ZINC000059698774,99,Done,11.02,-10.388,glide-grid_8F76,,,-10.388,-2.17429,,,,,,,,,,,,,1,,,-10.388,-11.8602,-11.6176,-23.4778,0.193151,-27.6004
O=C([O-])[C@H]1C[C@H]1F,ZINC000002540317,82,Done,9.08,-10.3855,glide-grid_8F76,,,-10.3855,-2.08387,,,,,,,,,,,,,1,,,-10.3855,-7.36296,-10.9703,-18.3332,0.215984,-21.975
C[C@H](O)C(=O)[O-],ZINC000004658560,101,Done,11.64,-10.3834,glide-grid_8F76,,,-10.3834,-2.28378,,,,,,,,,,,,,1,,,-10.3834,-10.099,-12.434,-22.533,0.603626,-27.3823
C[N@H+]1CC[C@@H]1C(=O)[O-],ZINC000002033635,98,Done,13.95,-10.3831,glide-grid_8F76,,,-10.3932,-1.76606,,,,,,,,,,,,,1,,,-10.3932,-7.27395,-7.39688,-14.6708,0.900884,-6.80753
C[C@@H](O)[C@@H](F)C(=O)[O-],ZINC000002000450,102,Done,16.56,-10.3818,glide-grid_8F76,,,-10.3818,-0.66654,,,,,,,,,,,,,1,,,-10.3818,-10.2692,-11.6339,-21.9031,5.14724,-22.5153
O=C([O-])[C@@H]1C[C@]1(F)Cl,ZINC000016159866,106,Done,8.62,-10.3722,glide-grid_8F76,,,-10.3722,-1.81382,,,,,,,,,,,,,1,,,-10.3722,-6.86307,-12.2879,-19.151,1.94479,-12.2075
O=C([O-])[C@H]1CC[C@H]1CF,ZINC000082162975,104,Done,12.41,-10.3705,glide-grid_8F76,,,-10.3705,-2.16979,,,,,,,,,,,,,1,,,-10.3705,1.57468,-11.3706,-9.79592,0.224894,-2.6035
